Entity,Code,Year,Up to 29 years,30-44 years,45-59 years,60+ years
Afghanistan,AFG,2023,1.827,1.617,1.681,1.456
Albania,ALB,2023,6.358,5.289,4.704,4.643
Algeria,DZA,2023,5.379,5.29,5.261,5.631
Argentina,ARG,2023,6.746,6.119,5.676,5.948
Armenia,ARM,2023,6.245,5.448,5.032,4.865
Australia,AUS,2023,7.013,6.941,6.953,7.304
Austria,AUT,2023,7.142,6.852,6.738,6.939
Azerbaijan,AZE,2023,5.352,4.868,4.554,4.417
Bahrain,BHR,2023,6.034,5.927,5.998,5.64
Bangladesh,BGD,2023,4.2,3.608,3.576,4.124
Belgium,BEL,2023,6.947,6.95,6.857,6.842
Benin,BEN,2023,4.665,4.118,3.986,4.206
Bolivia,BOL,2023,6.157,5.635,5.338,5.565
Bosnia and Herzegovina,BIH,2023,6.746,5.875,5.654,5.241
Botswana,BWA,2023,4.012,3.312,2.717,2.528
Brazil,BRA,2023,6.436,6.295,6.156,6.124
Bulgaria,BGR,2023,6.621,5.805,5.408,4.775
Burkina Faso,BFA,2023,4.601,4.608,4.284,4.505
Cambodia,KHM,2023,4.699,4.044,4.144,4.401
Cameroon,CMR,2023,4.996,4.875,4.688,4.428
Canada,CAN,2023,6.439,6.68,6.931,7.343
Chad,TCD,2023,4.462,4.461,4.397,4.689
Chile,CHL,2023,6.662,6.588,6.137,5.946
China,CHN,2023,5.949,5.855,5.892,6.359
Colombia,COL,2023,6.035,5.589,5.512,5.393
Comoros,COM,2023,4.111,3.062,3.244,3.305
Congo,COG,2023,5.574,4.945,4.977,4.918
Costa Rica,CRI,2023,7.15,6.93,6.697,6.932
Cote d'Ivoire,CIV,2023,5.251,5.066,4.802,4.682
Croatia,HRV,2023,7.116,6.198,5.851,5.137
Cyprus,CYP,2023,6.525,6.185,5.737,5.665
Czechia,CZE,2023,7.198,6.962,6.698,6.591
Democratic Republic of Congo,COD,2023,3.441,3.18,3.235,2.703
Denmark,DNK,2023,7.329,7.506,7.496,7.916
Dominican Republic,DOM,2023,6.407,5.811,5.321,5.269
Ecuador,ECU,2023,6.437,5.582,5.024,4.927
Egypt,EGY,2023,4.126,3.894,3.833,3.969
El Salvador,SLV,2023,7.057,6.432,6.099,5.716
Estonia,EST,2023,6.599,6.717,6.419,6.164
Eswatini,SWZ,2023,3.894,3.289,3.064,3.075
Ethiopia,ETH,2023,4.125,3.538,3.839,3.563
Finland,FIN,2023,7.3,7.688,7.903,7.912
France,FRA,2023,6.561,6.74,6.645,6.524
Gabon,GAB,2023,5.477,4.904,4.672,4.457
Gambia,GMB,2023,4.735,4.147,4.29,4.346
Georgia,GEO,2023,6.031,5.148,4.97,4.719
Germany,DEU,2023,6.578,6.928,6.616,6.734
Ghana,GHA,2023,4.426,4.265,4.206,3.839
Greece,GRC,2023,6.502,5.958,5.916,5.534
Guatemala,GTM,2023,6.548,6.263,5.929,5.887
Guinea,GIN,2023,5.106,5.015,4.678,5.128
Honduras,HND,2023,6.462,5.798,5.42,5.645
Hong Kong,HKG,2023,5.329,5.207,5.428,5.297
Hungary,HUN,2023,6.72,6.171,6.032,5.474
Iceland,ISL,2023,7.598,7.368,7.564,7.585
India,IND,2023,4.281,3.757,4.011,4.095
Indonesia,IDN,2023,6.089,5.497,5.167,5.159
Iran,IRN,2023,5.331,4.88,4.519,4.596
Iraq,IRQ,2023,5.486,4.964,4.811,4.684
Ireland,IRL,2023,6.954,6.751,6.714,6.932
Israel,ISR,2023,7.667,7.517,7.175,6.854
Italy,ITA,2023,6.618,6.602,6.171,6.119
Jamaica,JAM,2023,5.826,5.914,6.034,5.529
Japan,JPN,2023,6.232,5.9,5.957,6.146
Jordan,JOR,2023,4.667,3.949,3.487,4.024
Kazakhstan,KAZ,2023,6.324,6.195,6.136,6
Kenya,KEN,2023,4.906,4.082,3.904,4.134
Kosovo,OWID_KOS,2023,6.949,6.45,6.341,6.096
Kuwait,KWT,2023,7.104,6.821,6.974,7.154
Kyrgyzstan,KGZ,2023,5.935,5.538,5.571,5.687
Laos,LAO,2023,5.091,5.057,5.34,5.256
Latvia,LVA,2023,6.766,6.628,6.03,5.811
Lebanon,LBN,2023,2.997,2.664,2.51,2.49
Lesotho,LSO,2023,3.7,2.991,2.464,2.808
Liberia,LBR,2023,4.67,3.849,3.712,4.534
Libya,LBY,2023,5.937,5.72,5.966,5.835
Lithuania,LTU,2023,7.759,7.217,6.714,5.965
Luxembourg,LUX,2023,7.301,6.977,7.069,7.214
Madagascar,MDG,2023,4.334,3.979,4.246,4.416
Malawi,MWI,2023,3.71,2.992,3.138,3.498
Malaysia,MYS,2023,6.372,5.865,5.804,5.418
Mali,MLI,2023,4.332,4.07,4.225,4.211
Malta,MLT,2023,6.452,6.353,6.209,6.353
Mauritania,MRT,2023,4.517,4.431,4.501,4.691
Mauritius,MUS,2023,5.791,5.599,5.679,6.388
